"geonameid","name","asciiname","alternatenames","latitude","longitude","feature_class","feature_code"
1900508,"Burd Liang","Burd Liang","Bu'erduliang,Burd Liang,Bu’erduliang",39.73611,109.93361,"P","PPL"
1900509,"Hutung Miao","Hutung Miao","Ho-t'ung-miao,Ho-t’ung-miao,Hutung Miao",39.65944,109.49361,"P","PPL"
1900511,"Yuanjiahao","Yuanjiahao","Tal Hao,Yuanjiahao",39.78556,110.13556,"P","PPL"
1901178,"Bulen","Bulen","Bulen,Hou-pu-lien",39.34139,109.89778,"P","PPL"
1902403,"Wuyi Nongchang","Wuyi Nongchang","Wuyi Nongchang",39.79139,106.77083,"P","PPLF"
1902404,"Hoyor Qaidam Sum","Hoyor Qaidam Sum","Ha-pi-hai Miao,Hoyor Qaidam Sum",39.86361,108.51556,"P","PPL"
1902405,"Erdaokan","Erdaokan","Erdaokan,Erh-tao-k'an,Erh-tao-k’an",39.43444,106.82,"P","PPL"
1902407,"Taoli","Taoli","",38.64556,106.83222,"P","PPL"
1913267,"Weijiamao","Weijiamao","",39.57194,111.35,"P","PPL"
1913268,"Xiaomiaozi","Xiaomiaozi","Xiaomiaozi,xiao miao zi,小庙子",39.91778,111.65444,"P","PPLA4"
2028234,"Ku-erh-pan-hu-tu-ko-kao-le","Ku-erh-pan-hu-tu-ko-kao-le","Ku-erh-pan-hu-tu-ko-kao-le,Yamaan Usni Sayr,Yamaan Usnï Sayr",41.53333,103.83333,"H","WAD"
2028459,"Tun-ta-cha-ta-kai-kao-le","Tun-ta-cha-ta-kai-kao-le","Tun-ta-cha-ta-kai-kao-le,Ulaan Balgasni Sayr,Ulaan Balgasnï Sayr",41.56667,104,"H","WAD"
2028670,"A-ken-wu-su-kao-le","A-ken-wu-su-kao-le","A-ken-wu-su-kao-le,Tsagaan Uulin Sayr,Tsagaan Uulïn Sayr",41.75,103.21667,"H","WAD"
2028866,"Tooroyt Sayr","Tooroyt Sayr","T'ao-jui-t'u-kao-le,Tooroyt Sayr,T’ao-jui-t’u-kao-le",41.65,103.53333,"H","WAD"
2029294,"Sha-t’ing-kao-le","Sha-t'ing-kao-le","Sha-t'ing-kao-le,Sha-t’ing-kao-le,Shatin Sayr,Shatïn Sayr",41.56667,104,"H","WAD"
2029302,"Sha-erh-t’ao-le-kai-chun-kao-le","Sha-erh-t'ao-le-kai-chun-kao-le","Sha-erh-t'ao-le-kai-chun-kao-le,Sha-erh-t’ao-le-kai-chun-kao-le,Shar Tolgoyn Dzuun Sayr,Shar Tolgoyn Dzüün Sayr",41.45,103.65,"H","WAD"
2029319,"Sha-erh-hu-la-sen-kao-le","Sha-erh-hu-la-sen-kao-le","Sha-erh-hu-la-sen-kao-le,Shar Hulsin Sayr,Shar Hulsïn Sayr",41.76667,102.95,"H","WAD"
2029882,"Naran Bulagiyn Ovoo","Naran Bulagiyn Ovoo","Ch'a-kan-ao-pao,Ch’a-kan-ao-pao,Naran Bulagiyn Ovoo",40.05,106.06667,"T","HLL"
2031877,"Demchiyn Nuur","Demchiyn Nuur","Demchiyn Nuur,Te-mu-ch'in-no-erh,Te-mu-ch’in-no-erh",48.98333,118.51667,"H","LK"
2033051,"Horinger Xian","Horinger Xian","Helinge'er,Helinge'er Xian,Helinge’er,Helinge’er Xian,Ho-lin-ko-erh Hsien,Horinger,Horinger Xian,he lin ge er,he lin ge er xian,和林格尔,和林格尔县",40.38612,111.81886,"A","ADM3"
2033052,"Ershibaqingcun","Ershibaqingcun","Erh-shih-pa-ch'ing-ts'un,Erh-shih-pa-ch’ing-ts’un,Ershibaqingcun",41.55,113.86667,"P","PPL"
2033066,"Zhuozi Xian","Zhuozi Xian","Cho-tzu Hsien,Zhuozi,Zhuozi Xian,zhuo zi,zhuo zi xian,卓资,卓资县",40.92682,112.5479,"A","ADM3"
2033067,"Zhuozishan","Zhuozishan","Cho-tzu,Cho-tzu-shan,Chotzushanchen,Zhuozi,Zhuozi Xian,Zhuozishan,Zhuozishan Zhen,zhuo zi shan,zhuo zi shan zhen,zhuo zi xian,卓资县,卓资山,卓资山镇",40.89917,112.56028,"P","PPLA3"
2033114,"Zhirui","Zhirui","",42.83333,117.8,"P","PPL"
2033132,"Zhengxiangbai Qi","Zhengxiangbai Qi","All Bordered White Banner,Cheng-hsiang-pai Ch'i,Cheng-hsiang-pai Ch’i,Xulun Hobot Qagan,Xulun Hobot Qagan Qi,Zhengxiangbai,Zhengxiangbai Qi,zheng xiang bai,zheng xiang bai qi,正镶白,正镶白旗",42.53226,114.99251,"A","ADM3"
2033134,"Zhenglan Qi","Zhenglan Qi","All Blue Banner,Cheng-lan Ch'i,Cheng-lan Ch’i,Xulun Hoh Qi,Zhenglan,Zhenglan Qi,zheng lan,zheng lan qi,正蓝,正蓝旗",42.5419,115.96169,"A","ADM3"
2033154,"Zhaopo","Zhaopo","",40.31667,110.5,"P","PPL"
2033156,"Zhaojunmu","Zhaojunmu","",40.75,111.8,"S","HSTS"
2033191,"Zhangjiayao","Zhangjiayao","",43.96667,123.21667,"P","PPL"
2033206,"Zhanggao","Zhanggao","",40.72361,113.71722,"P","PPL"
2033214,"Qaidam","Qaidam","Qaidam,Zhandanzhao",40.35278,109.68639,"P","PPL"
2033219,"Zhaijiacun","Zhaijiacun","Chai-chia-ts'un,Chai-chia-ts’un,Zhaijiacun",41.73333,113.45,"P","PPL"
2033224,"Zalantun Shi","Zalantun Shi","Buteha Banner,Butha Qi,Pu-t'e-ha Ch'i,Pu-t’e-ha Ch’i,Put'eha Banner,Put’eha Banner,Zalantun,Zalantun Shi,Zhalantun,Zhalantun Shi,bu te ha qi,zha lan tun,zha lan tun shi,布特哈旗,扎兰屯,扎兰屯市",47.93908,122.54201,"A","ADM3"
2033225,"Zhalantun","Zhalantun","Butha Qi,Cha-lan-tun,Chzhalan'tun',Chzhalantun,Cjalanjtunj,NZL,Pu-t'e-ha-ch'i,Pu-t’e-ha-ch’i,Tsa-lan-t'un,Tsa-lan-t’un,Xinghua,Xinghua Jiedao,Ya-lu,Ya-lu-hsien,Zalantun,Zhalantun,Zhalantun Shi,bu te ha qi,xing hua,xing hua jie dao,zha lan tun,zha lan tun shi,Чжаланьтунь,兴华,兴华街道,布特哈旗,扎兰屯,扎兰屯市",48.00945,122.73651,"P","PPLA3"
2033228,"Yutiangao","Yutiangao","Yu-t'ien-kao,Yutiangao,Yü-t’ien-kao",42.84056,119.76889,"P","PPL"
2033262,"Yulin","Yulin","Yulin,yu lin,育林",49.8377,121.26675,"P","PPL"
2033265,"Yuliangpu","Yuliangpu","",43.41667,121.98333,"P","PPL"
2033268,"Yujuncun","Yujuncun","",46.03333,119.83333,"P","PPL"
2033290,"Yuanlin","Yuanlin","Juan'lin',Yuanlin,Yuanlin Zhen,yuan lin,yuan lin zhen,Юаньлинь,原林,原林镇",49.88546,121.38735,"P","PPLA4"
2033291,"Yuanbaoshan Zhan","Yuanbaoshan Zhan","Yuan-pao-shan,Yuanbaoshan Zhan,Yüan-pao-shan",42.23667,119.23389,"S","RSTN"
2033297,"Youyi Shuiku","Youyi Shuiku","Youyi Shuiku,you yi shui ku,友谊水库",40.8506,114.01192,"H","RSV"
2033303,"Yongxing","Yongxing","",40.445,112.26389,"P","PPL"
2033306,"Yongshunbu","Yongshunbu","Yongshunbu,Yung-shun-p'u-ts'un,Yung-shun-pao,Yung-shun-pao-ts'un,Yung-shun-pao-ts’un,Yung-shun-p’u-ts’un",41.62222,113.64167,"P","PPL"
